Website,Timestamp,BYPASS_PROXY_1 Result,BYPASS_PROXY_1 Start Time,BYPASS_PROXY_1 Failure Time,BYPASS_PROXY_2 Result,BYPASS_PROXY_2 Start Time,BYPASS_PROXY_2 Failure Time,BYPASS_PROXY_3 Result,BYPASS_PROXY_3 Start Time,BYPASS_PROXY_3 Failure Time,QUIC_PROXY_1 Result,QUIC_PROXY_1 Start Time,QUIC_PROXY_1 Failure Time,QUIC_PROXY_2 Result,QUIC_PROXY_2 Start Time,QUIC_PROXY_2 Failure Time,QUIC_PROXY_3 Result,QUIC_PROXY_3 Start Time,QUIC_PROXY_3 Failure Time
onclickads,06-03 19:36:00,False,06-03 19:36:01,76.67470979690552,True,06-03 19:37:21,80.65442109107971,False,06-03 19:38:45,226.11899375915527,False,06-03 19:42:34,11.653960943222046,True,06-03 19:42:49,6.325419902801514,True,06-03 19:42:58,4.3368079662323
ebay,06-03 19:43:32,True,06-03 19:43:33,171.73770880699158,True,06-03 19:46:28,22.611531972885132,True,06-03 19:46:54,25.711261987686157,False,06-03 19:47:22,11.103837728500366,False,06-03 19:47:37,10.63324785232544,False,06-03 19:47:51,10.6420259475708
bing,06-03 19:58:28,True,06-03 19:59:10,78.5190749168396,True,06-03 20:00:32,2.409398078918457,True,06-03 20:00:38,77.64342403411865,False,06-03 19:58:29,10.848477125167847,False,06-03 19:58:43,10.600998878479004,False,06-03 19:58:57,10.639935970306396
tumblr,06-03 20:01:57,True,06-03 20:01:58,163.95183992385864,True,06-03 20:04:46,155.28211498260498,True,06-03 20:07:24,136.92319798469543,True,06-03 20:09:44,94.81151294708252,False,06-03 20:11:22,31.516711950302124,True,06-03 20:11:57,120.18729710578918
stackoverflow,06-03 20:13:59,True,06-03 20:14:00,500.42989206314087,True,06-03 20:22:24,238.94163990020752,True,06-03 20:26:26,96.61445784568787,False,06-03 20:28:05,16.72994375228882,True,06-03 20:28:25,14.877853870391846,True,06-03 20:28:43,11.612862348556519
msn,06-03 20:28:57,True,06-03 20:31:21,172.9670169353485,False,06-03 20:34:17,80.5356798171997,True,06-03 20:35:41,94.63101482391357,True,06-03 20:28:58,53.07053208351135,False,06-03 20:29:54,31.010642051696777,True,06-03 20:30:29,49.589760065078735
aliexpress,06-03 20:37:18,False,06-03 20:37:19,77.65517807006836,False,06-03 20:38:40,75.9803421497345,True,06-03 20:39:59,91.00440907478333,False,06-03 20:41:33,11.625734090805054,False,06-03 20:41:48,0.34357595443725586,False,06-03 20:41:51,10.845376968383789
microsoft,06-03 20:42:04,False,06-03 20:42:05,307.37174701690674,False,06-03 20:47:16,229.00498700141907,False,06-03 20:51:08,153.65827989578247,False,06-03 20:53:45,13.671244859695435,True,06-03 20:54:02,11.393150329589844,True,06-03 20:54:16,8.866663932800293
apple,06-03 20:54:27,True,06-03 20:54:28,170.832679271698,True,06-03 20:57:22,238.38668203353882,False,06-03 21:01:24,9.74737000465393,False,06-03 21:01:37,0.349409818649292,True,06-03 21:01:40,13.119181156158447,True,06-03 21:01:56,11.81629991531372
netflix,06-03 21:02:10,True,06-03 21:03:11,173.6156930923462,False,06-03 21:06:08,240.34066009521484,False,06-03 21:10:11,151.408949136734,True,06-03 21:02:11,16.858616828918457,True,06-03 21:02:31,16.84127402305603,True,06-03 21:02:51,16.55332374572754
pinterest,06-03 21:12:45,False,06-03 21:12:46,91.69408297538757,False,06-03 21:14:21,77.48297715187073,False,06-03 21:15:41,2.439638137817383,True,06-03 21:15:47,23.34775996208191,True,06-03 21:16:14,21.99236822128296,True,06-03 21:16:39,22.060791969299316
paypal,06-03 21:17:03,False,06-03 21:18:34,84.03611207008362,True,06-03 21:20:01,19.175590991973877,True,06-03 21:20:23,143.56907176971436,True,06-03 21:17:04,10.213410139083862,True,06-03 21:17:17,39.88989615440369,False,06-03 21:18:00,30.346357822418213
