Website,Timestamp,BYPASS_PROXY_1 Result,BYPASS_PROXY_1 Start Time,BYPASS_PROXY_1 Failure Time,BYPASS_PROXY_2 Result,BYPASS_PROXY_2 Start Time,BYPASS_PROXY_2 Failure Time,BYPASS_PROXY_3 Result,BYPASS_PROXY_3 Start Time,BYPASS_PROXY_3 Failure Time,QUIC_PROXY_1 Result,QUIC_PROXY_1 Start Time,QUIC_PROXY_1 Failure Time,QUIC_PROXY_2 Result,QUIC_PROXY_2 Start Time,QUIC_PROXY_2 Failure Time,QUIC_PROXY_3 Result,QUIC_PROXY_3 Start Time,QUIC_PROXY_3 Failure Time
onclickads,6/3/18 19:36,FALSE,6/3/18 19:36,76.6747098,TRUE,6/3/18 19:37,80.65442109,FALSE,6/3/18 19:38,226.1189938,FALSE,6/3/18 19:42,11.65396094,TRUE,6/3/18 19:42,6.325419903,TRUE,6/3/18 19:42,4.336807966
ebay,6/3/18 19:43,TRUE,6/3/18 19:43,171.7377088,TRUE,6/3/18 19:46,22.61153197,TRUE,6/3/18 19:46,25.71126199,FALSE,6/3/18 19:47,11.10383773,FALSE,6/3/18 19:47,10.63324785,FALSE,6/3/18 19:47,10.64202595
bing,6/3/18 19:58,TRUE,6/3/18 19:59,78.51907492,TRUE,6/3/18 20:00,2.409398079,TRUE,6/3/18 20:00,77.64342403,FALSE,6/3/18 19:58,10.84847713,FALSE,6/3/18 19:58,10.60099888,FALSE,6/3/18 19:58,10.63993597
tumblr,6/3/18 20:01,TRUE,6/3/18 20:01,163.9518399,TRUE,6/3/18 20:04,155.282115,TRUE,6/3/18 20:07,136.923198,TRUE,6/3/18 20:09,94.81151295,FALSE,6/3/18 20:11,31.51671195,TRUE,6/3/18 20:11,120.1872971
stackoverflow,6/3/18 20:13,TRUE,6/3/18 20:14,500.4298921,TRUE,6/3/18 20:22,238.9416399,TRUE,6/3/18 20:26,96.61445785,FALSE,6/3/18 20:28,16.72994375,TRUE,6/3/18 20:28,14.87785387,TRUE,6/3/18 20:28,11.61286235
msn,6/3/18 20:28,TRUE,6/3/18 20:31,172.9670169,FALSE,6/3/18 20:34,80.53567982,TRUE,6/3/18 20:35,94.63101482,TRUE,6/3/18 20:28,53.07053208,FALSE,6/3/18 20:29,31.01064205,TRUE,6/3/18 20:30,49.58976007
aliexpress,6/3/18 20:37,FALSE,6/3/18 20:37,77.65517807,FALSE,6/3/18 20:38,75.98034215,TRUE,6/3/18 20:39,91.00440907,FALSE,6/3/18 20:41,11.62573409,FALSE,6/3/18 20:41,0.343575954,FALSE,6/3/18 20:41,10.84537697
microsoft,6/3/18 20:42,FALSE,6/3/18 20:42,307.371747,FALSE,6/3/18 20:47,229.004987,FALSE,6/3/18 20:51,153.6582799,FALSE,6/3/18 20:53,13.67124486,TRUE,6/3/18 20:54,11.39315033,TRUE,6/3/18 20:54,8.866663933
apple,6/3/18 20:54,TRUE,6/3/18 20:54,170.8326793,TRUE,6/3/18 20:57,238.386682,FALSE,6/3/18 21:01,9.747370005,FALSE,6/3/18 21:01,0.349409819,TRUE,6/3/18 21:01,13.11918116,TRUE,6/3/18 21:01,11.81629992
netflix,6/3/18 21:02,TRUE,6/3/18 21:03,173.6156931,FALSE,6/3/18 21:06,240.3406601,FALSE,6/3/18 21:10,151.4089491,TRUE,6/3/18 21:02,16.85861683,TRUE,6/3/18 21:02,16.84127402,TRUE,6/3/18 21:02,16.55332375
